run_id,experiment_name,condition_id,run_number,sensor_name,n_train_stacks,n_val_stacks,n_samples_per_class_0,n_samples_per_class_1,catastrophic_prob_type1,catastrophic_prob_type2,p_hat,se,ci_lo,ci_hi,true_disturbed_prop,f1_pixel,f1_sample,n_class0,n_class1,pixel_agreement,pixel_precision,pixel_recall,pixel_iou
run_ID_20260727_174227_b63f7b,point_sampling_sensitivity,n100_distMed,1,Sensor_Y,20,40,100,100,0.02,0.02,0.025997431139600458,0.013891795865998322,0.0,0.05322485071753958,0.015179892522351014,0.4574026893112703,0.314251596016736,100,100,0.9848842864252475,0.5505403165522316,0.46408648774063777,0.3094775948080361
run_ID_20260727_174227_b63f7b,point_sampling_sensitivity,n100_distMed,1,Sensor_Z,20,40,100,100,0.02,0.02,0.0184796491312625,0.00972071636081711,0.0,0.037531903102393294,0.015179892522351014,0.15124975371872318,0.28287225308818753,100,100,0.9494282569689861,0.10110618229733996,0.29000416165376086,0.0780644443181945
run_ID_20260727_174302_b604b6,point_sampling_sensitivity,n100_distMed,2,Sensor_Clean,20,40,100,100,0.02,0.02,0.014406297197445937,0.0,0.014406297197445937,0.014406297197445937,0.01523220004306973,0.9656902400537208,1.0,100,100,0.9989728722995818,0.9919838595603461,0.9464232147333129,0.9387140638225304
run_ID_20260727_174302_b604b6,point_sampling_sensitivity,n100_distMed,2,Sensor_X,20,40,100,100,0.02,0.02,0.01082678054725416,0.000695427020925383,0.009463768632364426,0.012189792462143894,0.01523220004306973,0.7708778034440944,0.8304093567251462,100,100,0.9934401523627081,0.7956143116371862,0.7751541568364794,0.6392277950180476
run_ID_20260727_174302_b604b6,point_sampling_sensitivity,n100_distMed,2,Sensor_Y,20,40,100,100,0.02,0.02,0.005998304069418046,0.0005677038955671957,0.004885624880223254,0.007110983258612838,0.01523220004306973,0.4362041417815772,0.69281045751634,100,100,0.9861159687398766,0.5630964886610587,0.3846802537526247,0.2941246325265359
run_ID_20260727_174302_b604b6,point_sampling_sensitivity,n100_distMed,2,Sensor_Z,20,40,100,100,0.02,0.02,0.025008261426548127,0.013224916586498188,0.0,0.050928621634630966,0.01523220004306973,0.13849710508624255,0.1333789664010809,100,100,0.9298288232836777,0.10005314240114313,0.350428437641212,0.07553294159765171
run_ID_20260727_174339_e7ae7b,point_sampling_sensitivity,n100_distMed,3,Sensor_Clean,20,40,100,100,0.02,0.02,0.016474043870764163,0.0006680322255014661,0.015164724768269149,0.017783362973259175,0.017445013632576188,0.9427936009534189,0.9247311827956989,100,100,0.9979957609784952,0.8998728064128408,0.9980828533451485,0.8984473076457707
run_ID_20260727_174339_e7ae7b,point_sampling_sensitivity,n100_distMed,3,Sensor_X,20,40,100,100,0.02,0.02,0.022307364878079248,0.00985198438875474,0.0029978302998690982,0.041616899456289394,0.017445013632576188,0.773637026315624,0.6060219156989185,100,100,0.9925744639546652,0.745559230221514,0.8276859179754243,0.6405507539582889
run_ID_20260727_174339_e7ae7b,point_sampling_sensitivity,n100_distMed,3,Sensor_Y,20,40,100,100,0.02,0.02,0.006405523535299252,0.0007117248372554724,0.005010568487375895,0.007800478583222609,0.017445013632576188,0.3977266383001885,0.6206896551724138,100,100,0.9803216251120096,0.4906911833579941,0.39140427473123734,0.2589200235582963
run_ID_20260727_174339_e7ae7b,point_sampling_sensitivity,n100_distMed,3,Sensor_Z,20,40,100,100,0.02,0.02,0.0032829117013356474,0.0009898351211997847,0.0013428705131512302,0.005222952889520065,0.017445013632576188,0.13063195641451664,0.18181818181818182,100,100,0.9546108569952365,0.11112125068855232,0.22678323931592906,0.06969199837252793
